ADMIN,ISO_A3,ADMIN_2,ISO_A3_2,distance,cent_lat,cent_lon,coast_lat,coast_lon
,,,,0.07410653678608,,,35.3499040935,33.5882011209
,,,,0.24158874561023,,,35.3424746770,33.2806095710
,,,,14.53686422302887,,,25.5977237000,66.4370223320
,,,,10.20132878394851,,,46.6950137390,53.2077742850
,,,,0.01129671369085,,,34.6257886046,32.9244387645
,,,,0.42358904073733,,,-49.7203101540,-73.6878555980
,,,,2.27168012815279,,,22.9321264970,35.6953052310
Antarctica,ATA,Antarctica,ATA,42.44497570531581,-81,19.9083990639,-79.9170874980,-22.5324600900
Australia,AUS,Australia,AUS,6.45067870805562,-26,134.4911187878,-31.9508602840,132.7762150400
Greenland,GRL,Greenland,GRL,14.80103843829487,75,-41.3457393668,74.4918887390,-56.1447647780
Fiji,FJI,Fiji,FJI,2.18664401215392,-17,163.4078655932,-19.6237118470,163.6218367850
New Zealand,NZL,New Zealand,NZL,0.00509007982547,-42,171.4707044481,-41.8264299460,171.4748641290
New Caledonia,NCL,New Caledonia,NCL,0.01159089764214,-21,165.7026547485,-21.2958188724,165.7105120265
Madagascar,MDG,Madagascar,MDG,2.12864745816756,-19,46.7059983133,-19.9657528630,48.7504988940
Philippines,PHL,Philippines,PHL,0.16358429636964,12,122.8746823847,11.6052920590,122.8303328790
Sri Lanka,LKA,Sri Lanka,LKA,0.86665489650819,8,80.7031627193,8.1059431010,81.4179793630
Curaçao,CUW,Curaçao,CUW,0.01110805202127,12,-68.9713056070,12.2038538167,-68.9665376726
Aruba,ABW,Aruba,ABW,0.03042331931413,13,-69.9742007503,12.4939205662,-69.9940980317
The Bahamas,BHS,The Bahamas,BHS,0.04111007894881,24,-76.5514929131,24.2506058032,-76.5201657200
Turks and Caicos Islands,TCA,Turks and Caicos Islands,TCA,0.03866419225642,22,-71.8733066017,21.7985123082,-71.8393376130
Taiwan,TWN,Taiwan,TWN,0.57934701531163,24,120.9498753298,23.6586774760,121.5214949880
Japan,JPN,Japan,JPN,0.35031470876934,38,137.9783476099,37.8022321640,138.2226668630
Saint Pierre and Miquelon,SPM,Saint Pierre and Miquelon,SPM,0.00821588351734,47,-56.3078135425,46.9304579498,-56.3160294260
Iceland,ISL,Iceland,ISL,0.83809808669234,65,-18.5964459278,65.6452090520,-18.0635880200
Pitcairn Islands,PCN,Pitcairn Islands,PCN,0.14307752111923,-24,-128.4792670607,-24.3717587220,-128.3421931630
French Polynesia,PYF,French Polynesia,PYF,0.48326427511969,-15,-145.0520403584,-15.4830054670,-145.4354141920
French Southern and Antarctic Lands,ATF,French Southern and Antarctic Lands,ATF,0.01199545651898,-49,68.9921340448,-49.0672795395,69.0039392259
Seychelles,SYC,Seychelles,SYC,0.84627151089737,-6,52.0622919004,-6.9943173160,52.7418725920
Kiribati,KIR,Kiribati,KIR,0.72246950602283,1,-51.5253253601,-0.0795223940,-51.3269750640
Marshall Islands,MHL,Marshall Islands,MHL,0.93700869428880,7,170.0995278121,7.1550967470,171.0356551440
Trinidad and Tobago,TTO,Trinidad and Tobago,TTO,0.20944215746624,10,-61.2584498393,10.5050514244,-61.4647360854
Grenada,GRD,Grenada,GRD,0.05164737654572,12,-61.6566823833,12.1496623764,-61.6051684318
Saint Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines,VCT,0.06312031421050,13,-61.2033532663,13.1643101884,-61.2392694070
Barbados,BRB,Barbados,BRB,0.05504857371680,13,-59.5612177481,13.2251390488,-59.5282505118
Saint Lucia,LCA,Saint Lucia,LCA,0.07823436421079,14,-60.9703165311,13.8905904796,-60.8930204270
Dominica,DMA,Dominica,DMA,0.06785898469807,15,-61.3569175921,15.4147403020,-61.4212133450
United States Minor Outlying Islands,UMI,United States Minor Outlying Islands,UMI,4.54087241563194,13,-103.2789202902,17.2642371030,-101.0590286590
Montserrat,MSR,Montserrat,MSR,0.03791104583006,17,-62.1873987830,16.7258163765,-62.1513406475
Antigua and Barbuda,ATG,Antigua and Barbuda,ATG,0.11844574464557,17,-61.7921838403,17.1664927399,-61.8062842553
Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,KNA,0.00872592652127,17,-62.6985454462,17.2769585782,-62.6921314861
United States Virgin Islands,VIR,United States Virgin Islands,VIR,0.18970891150150,18,-64.7976544503,17.7926292990,-64.7716365230
